,player,nation,pos,club,league,age,full_90,drib_goal,foul_goal,y_card,r_card,fouls_d,offside,crosses,intercept,air_won,pass_comp,touch_3rd,succ_drib,sot/90,assists,np_goals
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21.0,32.0,0.0,0.0,8,0,52,1,50,28,13.0,1107.0,434.0,34.0,0.06,2,0
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33.0,33.1,0.0,0.0,5,1,25,0,4,68,62.0,1284.0,84.0,14.0,0.18,0,2
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21.0,27.4,0.0,0.0,12,3,37,0,14,42,17.0,1535.0,257.0,26.0,0.18,0,1
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28.0,32.8,0.0,1.0,9,0,69,1,37,55,11.0,1341.0,358.0,39.0,0.21,2,0
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21.0,0.5,0.0,0.0,0,0,0,0,1,0,0.0,3.0,8.0,0.0,0.0,0,0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22.0,8.1,0.0,0.0,3,0,11,15,3,4,19.0,84.0,114.0,7.0,0.5,1,0
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18.0,1.1,0.0,0.0,0,0,1,0,0,0,0.0,7.0,12.0,3.0,0.0,0,0
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23.0,34.3,2.0,3.0,9,0,49,17,16,5,78.0,485.0,488.0,38.0,1.02,4,14
8,Luis Abram,pe PER,DF,Granada,es La Liga,25.0,6.2,0.0,0.0,2,0,4,0,0,5,7.0,191.0,5.0,0.0,0.0,0,0
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33.0,28.2,0.0,1.0,2,1,16,4,3,34,69.0,1837.0,59.0,4.0,0.25,0,4
10,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23.0,2.9,0.0,0.0,0,0,8,6,6,0,18.0,37.0,62.0,6.0,0.69,1,0
11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19.0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,6.0,2.0,0.0,0.0,0,0
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29.0,25.1,0.0,0.0,10,0,48,0,178,14,22.0,1543.0,610.0,44.0,0.2,3,1
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25.0,22.7,1.0,0.0,0,0,40,7,8,8,62.0,304.0,341.0,20.0,1.06,3,7
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22.0,15.0,0.0,0.0,5,0,15,0,2,16,20.0,794.0,150.0,13.0,0.0,1,0
